Datetime,Open,High,Low,Close,Adj Close,Volume
2020-10-04 12:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 12:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 12:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 12:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 13:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 14:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 15:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 16:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 17:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 18:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 19:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 20:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 21:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 22:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-04 23:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 00:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 01:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 02:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 03:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:15:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:20:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:25:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:30:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:35:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:40:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:45:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:50:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 04:55:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 05:00:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 05:05:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
2020-10-05 05:10:00+00:00,27680.890625,27680.890625,27680.890625,27680.890625,27680.890625,0
